Timestamp,CPU Usage (%),Memory Usage (%),Temperature (°C)
2026-04-01 03:44:22,0.0,18.0,40.2
2026-04-01 03:44:23,42.6,18.2,39.7
2026-04-01 03:44:24,40.1,18.2,40.8
2026-04-01 03:44:25,41.8,18.3,41.9
2026-04-01 03:44:26,36.5,18.4,39.7
2026-04-01 03:44:27,41.2,18.3,41.9
2026-04-01 03:44:28,11.6,16.5,38.6
2026-04-01 03:44:29,0.8,16.5,38.6
2026-04-01 03:44:30,2.8,16.5,37.0
2026-04-01 03:44:31,12.1,16.6,39.7
2026-04-01 03:44:32,27.7,17.5,39.7
2026-04-01 03:44:33,24.8,17.8,39.7
2026-04-01 03:44:34,20.9,18.4,40.2
2026-04-01 03:44:35,28.6,18.5,41.9
2026-04-01 03:44:36,37.1,18.7,40.8
2026-04-01 03:44:37,36.6,18.7,41.9
2026-04-01 03:44:38,40.9,18.7,40.2
2026-04-01 03:44:39,40.6,18.8,41.4
2026-04-01 03:44:40,34.9,18.9,41.4
2026-04-01 03:44:41,41.7,18.7,40.8
2026-04-01 03:44:42,38.7,18.7,42.5
2026-04-01 03:44:43,39.9,18.6,42.5
2026-04-01 03:44:44,37.6,18.5,42.5
2026-04-01 03:44:45,39.7,18.5,41.9
2026-04-01 03:44:46,38.1,18.4,40.8
2026-04-01 03:44:47,37.4,18.4,43.0
2026-04-01 03:44:48,39.8,18.3,41.4
2026-04-01 03:44:49,38.8,18.3,43.0
2026-04-01 03:44:50,36.8,18.2,41.9
2026-04-01 03:44:51,36.5,18.2,41.4
2026-04-01 03:44:52,41.1,18.2,42.5
2026-04-01 03:44:53,36.3,18.3,43.0
2026-04-01 03:44:54,37.1,18.3,42.5
2026-04-01 03:44:55,37.0,18.3,41.9
2026-04-01 03:44:56,37.3,18.3,42.5
2026-04-01 03:44:57,41.0,18.4,44.1
2026-04-01 03:44:58,37.0,18.4,43.5
2026-04-01 03:44:59,38.8,18.3,43.0
2026-04-01 03:45:00,37.2,18.3,43.5
2026-04-01 03:45:01,37.0,18.3,43.5
2026-04-01 03:45:02,37.0,18.2,43.0
2026-04-01 03:45:03,37.4,18.2,45.2
2026-04-01 03:45:04,38.0,18.3,43.5
2026-04-01 03:45:05,36.6,18.2,45.2
2026-04-01 03:45:06,40.3,18.2,44.1
2026-04-01 03:45:07,39.2,18.2,45.8
2026-04-01 03:45:08,37.9,18.3,43.0
2026-04-01 03:45:09,38.6,18.3,44.6
2026-04-01 03:45:10,39.6,18.3,43.5
2026-04-01 03:45:11,38.2,18.3,45.2
2026-04-01 03:45:12,39.0,18.4,44.1
2026-04-01 03:45:13,39.0,18.5,44.6
2026-04-01 03:45:14,40.2,18.5,45.8
2026-04-01 03:45:15,38.5,18.5,44.1
2026-04-01 03:45:16,38.4,18.4,44.6
2026-04-01 03:45:17,42.3,18.4,43.5
2026-04-01 03:45:18,36.5,18.4,46.3
2026-04-01 03:45:19,39.5,18.3,45.2
2026-04-01 03:45:20,38.7,18.5,45.2
2026-04-01 03:45:21,40.4,18.4,45.8
2026-04-01 03:45:22,39.8,18.5,45.2
2026-04-01 03:45:23,38.5,18.5,44.1
2026-04-01 03:45:24,38.9,18.5,45.2
2026-04-01 03:45:25,41.7,18.5,45.2
2026-04-01 03:45:26,40.7,18.4,45.2
2026-04-01 03:45:27,39.4,18.3,46.9
2026-04-01 03:45:28,39.6,18.3,45.2
2026-04-01 03:45:29,38.1,18.3,45.2
2026-04-01 03:45:30,39.5,18.4,45.2
2026-04-01 03:45:31,39.2,18.4,46.9
2026-04-01 03:45:32,37.3,18.4,45.2
2026-04-01 03:45:33,37.5,18.4,48.0
2026-04-01 03:45:34,38.6,18.3,48.5
2026-04-01 03:45:35,38.7,18.3,45.8
2026-04-01 03:45:36,35.8,18.3,45.8
2026-04-01 03:45:37,38.4,18.4,46.9
2026-04-01 03:45:38,40.3,18.4,46.9
2026-04-01 03:45:39,36.4,18.4,47.4
2026-04-01 03:45:40,39.0,18.5,46.9
2026-04-01 03:45:41,41.8,18.6,45.8
2026-04-01 03:45:42,36.3,18.4,47.4
2026-04-01 03:45:43,40.7,18.4,48.0
2026-04-01 03:45:44,35.1,18.4,46.3
2026-04-01 03:45:45,42.5,18.4,45.8
2026-04-01 03:45:46,36.9,18.4,45.8
2026-04-01 03:45:47,38.1,18.4,47.4
2026-04-01 03:45:48,38.3,18.4,48.5
2026-04-01 03:45:49,36.8,18.4,48.0
2026-04-01 03:45:50,38.7,18.5,48.5
2026-04-01 03:45:51,36.7,18.4,49.6
2026-04-01 03:45:52,35.5,18.4,47.4
