Time,CPU,Memory,Temp
06:28:18,0.5,2045.09375,48.5
06:28:19,0.5,2044.609375,49.6
06:28:20,0.2,2043.875,48.5
06:28:21,0.5,2042.875,49.05
06:28:22,0.8,2039.578125,48.5
06:28:23,1.0,2046.125,49.05
06:28:24,1.7,2043.59375,47.4
06:28:25,1.3,2042.625,48.5
06:28:26,0.3,2040.71875,46.85
06:28:27,0.3,2037.78125,46.85
06:28:28,1.0,2043.875,47.4
06:28:29,0.5,2041.234375,47.95
06:28:30,1.0,2040.734375,47.95
06:28:31,1.0,2037.96875,47.95
06:28:32,1.0,2035.546875,47.4
06:28:33,0.5,2042.21875,48.5
06:28:34,0.5,2041.28125,47.4
06:28:35,0.3,2040.53125,47.95
06:28:36,0.0,2039.0625,48.5
06:28:37,0.5,2038.328125,48.5
06:28:39,0.8,2041.03125,48.5
06:28:40,5.3,2054.515625,47.95
06:28:41,15.7,2176.46875,49.05
06:28:42,20.5,2239.6875,50.15
06:28:43,0.0,2239.6875,49.6
06:28:44,1.0,2243.421875,49.6
06:28:45,0.0,2243.25,49.6
06:28:46,1.0,2243.859375,48.5
06:28:47,1.0,2242.484375,47.95
06:28:48,0.0,2241.859375,47.4
06:28:49,0.7,2242.53125,47.95
06:28:50,0.0,2242.578125,49.05
06:28:51,0.0,2241.578125,47.95
06:28:52,0.5,2240.125,48.5
06:28:53,0.0,2238.09375,47.95
06:28:54,1.3,2238.890625,47.4
06:28:55,0.5,2237.4375,48.5
06:28:56,0.8,2236.359375,48.5
06:28:57,0.0,2233.890625,48.5
06:28:58,0.0,2230.765625,48.5
06:28:59,1.0,2231.875,47.95
