2026-03-25 09:13:49,0.0,17.8,51.8
2026-03-25 09:13:50,5.3,17.8,52.4
2026-03-25 09:13:51,0.7,17.8,51.8
2026-03-25 09:13:52,1.5,17.8,52.4
2026-03-25 09:13:53,0.3,17.8,51.8
2026-03-25 09:13:54,1.2,17.8,52.4
2026-03-25 09:13:55,1.3,17.8,52.4
2026-03-25 09:13:56,0.5,17.8,51.2
2026-03-25 09:13:57,2.2,17.8,50.7
2026-03-25 09:13:58,21.2,18.1,53.5
2026-03-25 09:13:59,13.4,18.5,54.0
2026-03-25 09:14:00,85.2,19.4,56.8
2026-03-25 09:14:01,79.9,19.5,55.6
2026-03-25 09:14:02,81.4,19.5,56.8
2026-03-25 09:14:03,82.5,19.5,56.8
2026-03-25 09:14:04,81.6,19.5,56.2
2026-03-25 09:14:05,84.4,19.5,56.8
2026-03-25 09:14:06,82.7,19.5,56.2
2026-03-25 09:14:07,83.5,19.5,56.2
2026-03-25 09:14:08,82.4,19.5,56.8
2026-03-25 09:14:09,82.2,19.5,56.8
2026-03-25 09:14:10,83.8,19.5,56.8
2026-03-25 09:14:11,87.0,19.5,56.2
2026-03-25 09:14:12,81.0,19.5,57.3
2026-03-25 09:14:13,85.3,19.5,58.4
2026-03-25 09:14:14,83.4,19.5,57.9
2026-03-25 09:14:15,84.2,19.5,57.9
2026-03-25 09:14:16,84.8,19.5,57.3
2026-03-25 09:14:17,82.9,19.5,58.4
2026-03-25 09:14:18,83.2,19.4,60.6
2026-03-25 09:14:19,83.5,19.4,57.3
2026-03-25 09:14:20,82.3,19.4,59.0
2026-03-25 09:14:21,83.4,19.4,59.5
2026-03-25 09:14:22,84.0,19.4,58.4
2026-03-25 09:14:23,82.4,19.4,58.4
2026-03-25 09:14:24,81.6,19.4,57.9
2026-03-25 09:14:25,82.6,19.4,59.5
2026-03-25 09:14:26,81.3,19.4,57.9
2026-03-25 09:14:27,84.6,19.4,59.0
2026-03-25 09:14:28,81.8,19.4,59.0
