Time,CPU,Memory,Temp
06:29:38,0.7,2193.4375,50.7
06:29:39,0.8,2186.0625,49.05
06:29:40,0.0,2181.28125,49.6
06:29:41,0.2,2176.421875,50.15
06:29:42,0.5,2173.375,49.6
06:29:43,0.0,2169.046875,49.6
06:29:44,1.5,2165.578125,49.6
06:29:45,0.3,2160.484375,49.6
06:29:46,0.0,2158.703125,49.6
06:29:47,0.8,2156.890625,49.05
06:29:48,0.0,2148.640625,50.15
06:29:49,0.3,2144.828125,49.6
06:29:50,0.0,2139.03125,49.05
06:29:51,0.0,2138.21875,49.6
06:29:52,0.5,2138.046875,48.5
06:29:53,0.3,2128.6875,49.05
06:29:54,0.3,2126.28125,48.5
06:29:55,0.2,2124.859375,49.6
06:29:56,0.5,2126.3125,47.95
06:29:57,0.8,2123.40625,50.15
06:29:58,6.5,2143.546875,50.15
06:29:59,26.2,2276.546875,51.8
06:30:00,6.3,2289.390625,49.6
06:30:01,0.5,2288.9375,50.15
06:30:02,0.2,2288.921875,50.15
06:30:03,0.3,2286.046875,50.15
06:30:04,1.0,2288.78125,48.5
06:30:05,0.5,2286.125,50.15
06:30:06,0.3,2284.984375,49.6
06:30:07,0.5,2287.296875,50.15
06:30:08,0.5,2284.03125,50.7
06:30:09,0.0,2283.6875,50.15
06:30:10,0.3,2282.078125,50.15
06:30:11,0.7,2279.890625,49.6
06:30:12,0.5,2281.640625,50.15
06:30:13,0.5,2278.21875,48.5
06:30:14,0.2,2276.765625,50.15
06:30:15,0.2,2274.625,49.05
06:30:16,0.7,2273.609375,49.6
06:30:17,0.0,2275.640625,49.6
06:30:18,0.5,2274.359375,49.05
06:30:19,0.0,2271.5625,50.15
06:30:20,18.7,2342.765625,51.25
06:30:21,16.0,2469.796875,51.25
06:30:22,23.2,2490.890625,52.9
06:30:23,29.4,2501.1875,52.35
06:30:24,31.9,2518.234375,52.9
06:30:25,31.7,2523.171875,52.9
06:30:26,31.4,2523.8125,52.9
06:30:27,36.1,2521.515625,53.45
06:30:28,42.8,2519.65625,52.9
06:30:29,43.1,2508.375,53.45
06:30:30,43.9,2491.453125,54.0
06:30:31,41.2,2474.21875,54.0
06:30:32,42.9,2473.21875,54.0
06:30:33,41.1,2468.59375,54.55
06:30:34,43.7,2467.171875,52.9
06:30:35,41.9,2466.65625,55.1
06:30:36,41.5,2467.03125,54.55
06:30:37,39.9,2475.765625,54.55
06:30:38,41.6,2492.671875,55.1
06:30:39,40.6,2498.59375,54.55
06:30:40,43.6,2488.53125,54.0
06:30:41,43.9,2488.0,55.65
06:30:42,40.7,2486.265625,55.1
06:30:43,42.0,2479.15625,54.55
06:30:44,42.4,2476.140625,55.1
06:30:45,42.1,2474.1875,55.65
06:30:46,38.9,2490.671875,52.9
06:30:47,43.4,2494.515625,55.1
06:30:48,42.5,2496.390625,54.55
06:30:49,40.2,2500.703125,54.55
06:30:50,44.1,2501.921875,55.1
06:30:51,41.2,2506.265625,55.65
06:30:52,41.5,2505.890625,55.1
06:30:53,39.8,2493.5,55.65
